wiek,dochod_miesieczny,zadluzenie,historia_kredytowa,stabilnosc_zatrudnienia,kwota_kredytu,okres_kredytu_mies,liczba_zaleglosci,rata_do_dochodu,decyzja
62.0,14747.79,0.822,0.524,0.803,4430.88,68.0,2.0,0.005,1
51.0,9030.89,0.453,0.774,0.414,3414.43,37.0,0.0,0.011,1
55.0,3203.95,0.779,0.73,0.484,57165.48,26.0,1.0,0.708,0
23.0,6307.08,0.715,0.775,0.658,55620.05,72.0,1.0,0.127,0
34.0,3835.88,0.643,0.631,0.687,85255.06,7.0,0.0,1.5,0
58.0,5147.84,0.387,0.729,0.463,24716.78,43.0,0.0,0.116,0
62.0,12830.88,0.51,0.319,0.617,10790.47,18.0,0.0,0.049,1
41.0,8659.81,0.762,0.577,0.334,19032.47,16.0,0.0,0.14,1
60.0,4745.91,0.688,0.591,0.537,25186.34,7.0,4.0,0.777,0
62.0,4119.08,0.41,0.613,0.536,12991.57,20.0,1.0,0.163,0
38.0,6596.6,0.583,0.22,0.313,72999.27,80.0,2.0,0.147,0
65.0,3759.74,0.515,0.42,0.329,107184.61,41.0,0.0,0.719,0
33.0,4805.63,0.432,0.566,0.42,34115.72,84.0,0.0,0.087,0
30.0,7479.8,0.472,0.53,0.77,24824.09,27.0,1.0,0.129,1
54.0,10931.98,0.53,0.453,0.727,10774.12,66.0,0.0,0.016,1
51.0,8548.41,0.48,0.509,0.725,68310.12,13.0,0.0,0.638,1
25.0,2318.04,0.083,0.367,0.724,26271.25,14.0,0.0,0.824,0
62.0,7454.12,0.682,0.634,0.388,20716.26,7.0,1.0,0.416,0
28.0,6714.15,0.517,0.755,0.851,34179.94,77.0,1.0,0.069,0
60.0,7830.71,0.338,0.688,0.075,17084.36,59.0,0.0,0.039,1
18.0,13451.58,0.976,0.218,0.695,27504.36,64.0,2.0,0.033,0
60.0,6460.21,0.704,0.903,0.493,9789.13,79.0,0.0,0.049,0
59.0,4981.87,0.137,0.897,0.245,50677.52,32.0,0.0,0.328,1
59.0,8480.0,0.803,0.78,0.422,23359.61,63.0,0.0,0.046,1
53.0,3190.2,0.561,0.721,0.541,53095.72,45.0,2.0,0.383,0
42.0,12628.79,0.437,0.77,0.225,21936.18,48.0,0.0,0.101,1
55.0,7671.89,0.536,0.323,0.444,22881.9,58.0,0.0,0.053,1
32.0,9514.01,0.161,0.795,0.301,11368.76,43.0,0.0,0.029,1
59.0,5027.27,0.305,0.749,0.658,40964.99,7.0,1.0,1.191,0
47.0,9374.52,0.346,0.793,0.66,14148.09,11.0,1.0,0.144,1
42.0,10513.02,0.454,0.458,0.157,18223.31,45.0,0.0,0.04,1
44.0,7218.14,0.386,0.718,0.559,25017.02,51.0,3.0,0.07,0
48.0,7223.09,0.482,0.332,0.588,27049.58,63.0,0.0,0.063,0
19.0,7340.86,0.625,0.842,0.095,8247.52,51.0,0.0,0.023,1
25.0,4407.45,0.472,0.136,0.618,21517.19,20.0,1.0,0.101,0
31.0,6082.49,0.035,0.625,0.774,41920.52,34.0,1.0,0.207,1
24.0,6068.84,0.589,0.881,0.801,19549.62,41.0,0.0,0.081,1
41.0,7723.98,0.687,0.387,0.593,21602.31,83.0,1.0,0.035,0
53.0,10193.22,0.804,0.881,0.248,27783.43,48.0,0.0,0.059,1
52.0,4036.83,0.643,0.634,0.568,23034.69,56.0,1.0,0.108,0
42.0,6144.44,0.362,0.671,0.575,12794.82,64.0,1.0,0.034,0
63.0,12660.12,0.338,0.836,0.627,24416.3,34.0,4.0,0.059,1
47.0,4651.49,0.863,0.613,0.844,47704.39,82.0,0.0,0.13,0
22.0,4489.72,0.079,0.664,0.504,12624.15,59.0,1.0,0.049,1
58.0,7119.52,0.654,0.514,0.634,19598.69,73.0,1.0,0.039,0
48.0,9504.6,0.553,0.776,0.48,10183.98,65.0,0.0,0.017,1
51.0,6533.51,0.575,0.23,0.509,46098.21,55.0,0.0,0.136,0
47.0,11820.49,0.351,0.488,0.606,23543.34,8.0,4.0,0.263,0
47.0,9557.82,0.378,0.558,0.363,14385.86,52.0,0.0,0.03,1
22.0,9493.63,0.546,0.348,0.73,26545.19,16.0,1.0,0.183,1
47.0,8340.76,0.802,0.613,0.569,11433.36,53.0,0.0,0.027,1
60.0,18527.31,0.05,0.556,0.541,12770.06,61.0,2.0,0.012,1
34.0,5926.77,0.472,0.644,0.265,9677.36,49.0,0.0,0.035,1
49.0,2638.52,0.716,0.773,0.219,12496.76,30.0,4.0,0.162,0
19.0,13379.41,0.052,0.666,0.7,60409.43,10.0,1.0,0.473,1
36.0,5290.1,0.503,0.823,0.842,15523.41,59.0,0.0,0.051,1
41.0,6823.34,0.058,0.759,0.589,33849.43,61.0,1.0,0.085,1
70.0,11717.69,0.025,0.657,0.918,14516.41,43.0,1.0,0.03,1
29.0,6460.21,0.292,0.659,0.729,40959.05,62.0,0.0,0.219,1
32.0,3700.84,0.306,0.613,0.234,12831.75,67.0,0.0,0.055,0
39.0,3162.07,0.373,0.454,0.523,25645.65,46.0,1.0,0.18,0
70.0,4546.88,0.67,0.173,0.378,25873.76,9.0,1.0,0.655,0
63.0,7921.96,0.949,0.746,0.577,113516.62,74.0,0.0,0.203,1
19.0,8229.18,0.824,0.799,0.512,37662.02,42.0,2.0,0.112,0
30.0,7360.48,0.283,0.805,0.724,17004.67,59.0,0.0,0.041,1
61.0,3442.02,0.644,0.034,0.688,39023.25,77.0,0.0,0.154,0
21.0,2298.5,0.659,0.413,0.326,100352.52,34.0,1.0,1.327,0
63.0,6660.94,0.959,0.539,0.514,8667.78,55.0,0.0,0.025,0
32.0,5256.7,0.366,0.542,0.586,14458.21,7.0,0.0,0.409,0
66.0,7992.68,0.469,0.855,0.522,21432.16,75.0,0.0,0.037,1
33.0,8914.52,0.406,0.477,0.704,19063.37,10.0,0.0,0.219,1
41.0,6917.2,0.512,0.37,0.252,20137.5,48.0,0.0,0.062,0
53.0,9150.99,0.356,0.82,0.291,10709.43,33.0,1.0,0.036,1
24.0,7206.24,0.525,0.885,0.31,62267.98,8.0,0.0,1.143,0
47.0,8250.97,0.128,0.573,0.719,9916.3,42.0,2.0,0.03,1
44.0,4733.66,0.307,0.835,0.746,21949.35,79.0,1.0,0.062,1
59.0,5995.31,0.423,0.174,0.329,49336.58,19.0,0.0,0.445,0
70.0,7101.82,0.383,0.815,0.476,24514.28,29.0,0.0,0.124,1
53.0,9403.11,0.67,0.761,0.19,13227.12,20.0,1.0,0.074,0
39.0,5444.57,0.829,0.915,0.208,10404.48,15.0,0.0,0.134,0
39.0,8218.0,0.22,0.145,0.367,21528.47,24.0,0.0,0.112,1
40.0,5767.13,0.278,0.362,0.719,15284.0,51.0,2.0,0.055,0
61.0,6165.12,0.518,0.617,0.609,28567.68,67.0,1.0,0.071,0
35.0,9441.23,0.472,0.677,0.306,10053.62,60.0,1.0,0.018,0
26.0,2650.97,0.191,0.852,0.351,42408.51,66.0,0.0,0.257,0
35.0,3626.94,0.516,0.489,0.23,26949.99,62.0,0.0,0.125,0
19.0,3336.15,0.888,0.247,0.389,28283.24,36.0,0.0,0.244,0
23.0,2274.31,0.531,0.41,0.422,63788.68,77.0,1.0,0.38,0
22.0,4790.25,0.59,0.613,0.558,18808.5,19.0,0.0,0.219,0
58.0,9107.04,1.072,0.098,0.436,15597.26,61.0,0.0,0.029,0
56.0,5717.92,0.627,0.743,0.09,17511.0,14.0,0.0,0.23,0
54.0,7105.06,0.691,0.537,0.228,22059.28,66.0,1.0,0.049,0
42.0,10611.62,0.85,0.259,0.773,23564.67,12.0,1.0,0.189,0
56.0,11813.71,0.65,0.551,0.511,14569.38,23.0,0.0,0.056,1
26.0,6300.89,0.434,0.155,0.479,6711.82,36.0,0.0,0.031,0
65.0,11952.21,0.684,0.881,0.569,17361.79,60.0,0.0,0.025,1
44.0,6775.13,0.56,0.613,0.365,31587.53,9.0,0.0,0.537,0
67.0,4459.22,0.494,0.585,0.715,27315.21,26.0,0.0,0.247,0
26.0,4974.49,0.717,0.685,0.533,54521.02,32.0,0.0,0.357,0
44.0,3338.63,0.082,0.418,0.371,89116.28,63.0,1.0,0.445,0
54.0,4358.56,0.531,0.624,0.878,40953.73,81.0,1.0,0.122,0
44.0,5532.8,0.557,0.608,0.491,61406.41,54.0,4.0,0.213,0
41.0,9331.68,0.514,0.66,0.731,41152.27,46.0,3.0,0.099,0
26.0,14099.63,0.424,0.461,0.705,75967.86,32.0,0.0,0.175,1
38.0,3489.72,0.419,0.783,0.273,83256.87,70.0,0.0,0.356,0
30.0,7756.84,0.297,0.568,0.372,46392.29,14.0,0.0,0.437,0
33.0,6460.21,0.582,0.744,0.845,39568.09,16.0,1.0,0.627,0
54.0,8047.94,0.414,0.74,0.409,21877.85,21.0,0.0,0.133,1
51.0,6127.66,0.087,0.909,0.521,24337.21,27.0,0.0,0.152,1
50.0,2851.64,0.472,0.593,0.369,20071.11,42.0,0.0,0.178,0
37.0,9870.36,0.711,0.501,0.619,37438.12,80.0,0.0,0.049,1
68.0,4950.81,0.545,0.686,0.367,15652.8,57.0,1.0,0.058,0
22.0,5111.78,0.371,0.625,0.729,22079.66,36.0,1.0,0.125,0
36.0,4016.51,0.617,0.883,0.572,5408.74,22.0,0.0,0.064,1
24.0,4842.23,0.492,0.286,0.613,76622.0,57.0,3.0,0.288,0
35.0,7880.2,0.255,0.758,0.692,21662.17,25.0,0.0,0.114,1
68.0,5969.37,0.375,0.555,0.525,33616.03,83.0,0.0,0.071,0
37.0,7536.06,0.247,0.171,0.424,64485.29,43.0,0.0,0.203,0
66.0,7649.7,0.42,0.613,0.189,30388.57,49.0,1.0,0.084,0
44.0,11776.43,0.32,0.637,0.719,63924.28,77.0,1.0,0.073,1
55.0,5570.85,0.831,0.552,0.719,11153.42,30.0,0.0,0.07,0
42.0,3344.16,0.429,0.115,0.882,118767.83,43.0,3.0,0.877,0
32.0,10507.11,0.132,0.272,0.609,50678.28,48.0,0.0,0.106,1
58.0,5599.25,0.572,0.734,0.276,28641.52,27.0,0.0,0.197,0
69.0,10733.49,0.648,0.698,0.797,63128.82,10.0,1.0,0.603,0
31.0,7723.92,0.74,0.904,0.425,11696.19,28.0,3.0,0.056,0
59.0,6127.52,0.272,0.55,0.362,20723.66,14.0,1.0,0.255,0
31.0,7604.58,0.525,0.469,0.613,63920.4,59.0,3.0,0.151,0
55.0,15638.84,0.151,0.745,0.303,7428.22,6.0,0.0,0.084,1
59.0,16550.95,0.098,0.487,0.621,35987.56,31.0,1.0,0.072,1
41.0,6706.14,0.584,0.828,0.419,35332.04,75.0,2.0,0.074,0
57.0,6985.86,0.407,0.684,0.76,89915.7,50.0,0.0,0.272,1
32.0,10549.84,0.928,0.426,0.645,8934.81,59.0,0.0,0.015,1
22.0,4442.67,0.306,0.311,0.194,71174.6,58.0,4.0,0.29,0
23.0,7551.03,0.518,0.771,0.696,17378.26,29.0,0.0,0.083,1
41.0,6424.79,0.593,0.613,0.411,18696.19,55.0,0.0,0.055,0
65.0,7486.2,0.3,0.138,0.507,11297.4,23.0,2.0,0.068,0
24.0,4467.31,0.525,0.815,0.422,12326.75,56.0,3.0,0.05,0
42.0,3178.78,0.355,0.517,0.639,32497.57,59.0,4.0,0.183,0
55.0,2557.32,0.677,0.504,0.435,12132.16,75.0,2.0,0.067,0
28.0,3931.34,0.479,0.342,0.523,40449.76,78.0,0.0,0.139,0
56.0,5287.78,0.294,0.519,0.439,16247.64,7.0,3.0,0.453,0
34.0,5696.58,0.365,0.91,0.819,11363.47,29.0,0.0,0.07,1
60.0,15542.16,0.304,0.359,0.435,17739.61,49.0,1.0,0.024,1
48.0,10692.04,0.291,0.953,0.298,31116.42,31.0,0.0,0.099,1
46.0,4215.89,0.473,0.737,0.677,20875.92,54.0,2.0,0.096,0
27.0,7600.93,0.432,0.503,0.388,25562.14,73.0,1.0,0.049,1
42.0,5411.99,0.292,0.613,0.784,39307.32,26.0,2.0,0.289,0
63.0,5719.25,0.611,0.43,0.641,50524.07,76.0,0.0,0.121,0
19.0,7065.32,0.468,0.844,0.632,20436.32,75.0,0.0,0.041,0
58.0,8588.54,0.381,0.485,0.632,12681.34,78.0,0.0,0.019,1
44.0,5579.7,0.384,0.564,0.786,26267.63,11.0,0.0,0.454,0
56.0,10491.18,0.304,0.501,0.567,33946.92,29.0,1.0,0.117,1
53.0,3888.14,0.834,0.733,0.432,9673.64,15.0,0.0,0.169,0
40.0,6518.57,0.883,0.679,0.776,14012.93,15.0,1.0,0.146,0
34.0,20000.0,0.765,0.353,0.632,15664.61,10.0,0.0,0.083,1
51.0,7186.38,0.929,0.512,0.576,21841.05,40.0,0.0,0.08,0
25.0,12388.25,0.429,0.496,0.202,15244.27,12.0,1.0,0.108,1
48.0,6773.29,0.622,0.644,0.638,39585.08,29.0,0.0,0.212,0
23.0,8441.43,0.08,0.761,0.476,8806.93,83.0,0.0,0.013,1
52.0,6336.01,0.592,0.27,0.086,8953.63,75.0,0.0,0.02,0
51.0,6020.19,0.486,0.679,0.043,20122.69,80.0,0.0,0.044,1
22.0,4576.96,0.117,0.752,0.361,22302.56,8.0,1.0,0.625,0
58.0,7888.75,0.415,0.507,0.098,9711.95,58.0,0.0,0.022,1
40.0,4430.93,0.961,0.345,0.51,16852.33,56.0,0.0,0.07,0
59.0,8769.81,0.27,0.538,0.238,19263.22,16.0,1.0,0.142,1
20.0,10592.87,0.762,0.739,0.389,19360.45,77.0,0.0,0.025,1
27.0,7665.59,0.472,0.656,0.494,27594.01,37.0,1.0,0.103,1
44.0,5714.41,0.841,0.569,0.238,16262.3,83.0,0.0,0.035,0
27.0,7973.21,0.493,0.437,0.449,65331.18,15.0,3.0,0.567,0
35.0,5657.03,0.324,0.871,0.425,34336.5,57.0,0.0,0.112,1
53.0,9902.61,0.948,0.512,0.693,14794.45,16.0,0.0,0.095,0
25.0,2851.0,0.268,0.488,0.796,26583.97,81.0,3.0,0.121,0
53.0,5588.88,0.499,0.862,0.739,27098.7,54.0,1.0,0.095,0
23.0,2653.65,0.727,0.414,0.273,55061.17,11.0,1.0,1.5,0
27.0,3316.88,0.157,0.404,0.722,16922.21,22.0,2.0,0.238,0
49.0,12007.6,0.095,0.4,0.745,41167.37,34.0,0.0,0.101,1
60.0,9724.37,0.525,0.08,0.104,25689.47,7.0,2.0,0.387,0
27.0,4702.23,0.428,0.714,0.434,65916.85,6.0,1.0,1.5,0
33.0,3305.79,0.317,0.613,0.67,57855.89,79.0,0.0,0.235,0
67.0,2000.0,0.797,0.326,0.411,28414.86,83.0,0.0,0.181,0
70.0,5089.75,0.472,0.737,0.678,21081.42,48.0,0.0,0.09,0
48.0,19317.07,0.472,0.383,0.58,34749.66,77.0,3.0,0.024,1
41.0,7905.04,0.702,0.814,0.645,22233.13,57.0,0.0,0.052,1
36.0,5053.06,0.519,0.325,0.877,74520.59,8.0,0.0,1.5,0
50.0,8013.18,0.649,0.738,0.718,26308.22,62.0,1.0,0.055,1
49.0,3219.97,0.419,0.275,0.251,19205.72,7.0,1.0,0.9,0
33.0,5686.0,0.538,0.629,0.323,18543.62,70.0,0.0,0.049,0
19.0,6797.58,0.282,0.617,0.607,11363.46,34.0,2.0,0.051,0
26.0,6460.21,0.524,0.314,0.287,35896.48,17.0,0.0,0.35,0
68.0,9278.18,0.177,0.461,0.56,14670.94,26.0,2.0,0.063,0
40.0,7590.46,0.415,0.647,0.555,51043.19,59.0,0.0,0.119,1
43.0,8780.64,0.211,0.601,0.229,10788.36,72.0,0.0,0.018,1
42.0,4768.51,0.333,0.698,0.491,27155.59,51.0,1.0,0.116,1
59.0,9735.89,0.645,0.43,0.375,52800.53,18.0,0.0,0.318,1
21.0,13528.84,0.568,0.59,0.435,6171.34,77.0,0.0,0.006,1
22.0,4200.63,0.58,0.585,0.548,92828.01,68.0,0.0,0.331,0
32.0,4359.42,0.051,0.688,0.777,18962.07,38.0,1.0,0.118,0
43.0,11856.84,0.472,0.791,0.23,27401.23,49.0,2.0,0.048,1
53.0,5963.74,0.45,0.335,0.683,36245.59,82.0,2.0,0.078,0
44.0,12225.47,0.428,0.732,0.566,40079.29,35.0,3.0,0.097,1
41.0,5326.32,0.773,0.939,0.51,29871.37,8.0,3.0,0.722,0
67.0,12510.55,0.29,0.084,0.407,47807.18,17.0,0.0,0.237,1
26.0,6896.2,0.154,0.385,0.566,35032.35,53.0,0.0,0.098,0
48.0,7300.95,0.675,0.402,0.237,78527.48,84.0,2.0,0.131,0
46.0,13143.47,0.434,0.416,0.391,35106.59,64.0,3.0,0.044,1
43.0,5523.47,1.108,0.919,0.648,89647.82,54.0,4.0,0.313,0
60.0,4255.86,0.935,0.323,0.58,44906.25,31.0,1.0,0.358,0
32.0,5311.89,0.493,0.709,0.622,7730.23,40.0,0.0,0.038,1
68.0,7967.35,0.375,0.418,0.932,136468.33,9.0,3.0,1.5,0
35.0,3213.02,0.693,0.504,0.382,17211.06,35.0,3.0,0.156,0
46.0,8659.56,0.473,0.552,0.634,66087.49,55.0,1.0,0.146,1
45.0,5100.58,0.343,0.735,0.376,25439.21,77.0,2.0,0.068,0
63.0,10895.15,0.947,0.58,0.877,49828.37,78.0,1.0,0.101,0
41.0,2213.08,0.206,0.597,0.417,15980.42,70.0,3.0,0.109,0
33.0,4562.39,0.781,0.684,0.469,37547.61,7.0,0.0,1.218,0
19.0,3043.14,0.518,0.765,0.169,21206.38,70.0,2.0,0.105,0
37.0,4481.68,0.299,0.836,0.635,69771.66,23.0,0.0,0.707,0
61.0,7266.33,0.373,0.76,0.214,33248.52,54.0,0.0,0.088,1
18.0,5996.35,0.588,0.509,0.858,45935.51,80.0,0.0,0.098,0
65.0,5799.56,0.687,0.714,0.446,6124.06,76.0,0.0,0.015,1
46.0,6050.67,0.656,0.71,0.273,23647.41,58.0,0.0,0.07,1
25.0,7122.99,0.439,0.708,0.533,32646.39,29.0,3.0,0.161,0
34.0,4128.69,0.394,0.429,0.389,28911.1,47.0,1.0,0.152,0
47.0,8934.18,0.553,0.832,0.065,46694.58,61.0,2.0,0.101,1
34.0,8758.3,0.15,0.613,0.489,19708.26,46.0,0.0,0.05,1
23.0,7729.69,0.595,0.819,0.276,25805.49,37.0,0.0,0.094,1
53.0,8349.84,0.205,0.372,0.496,53875.36,37.0,1.0,0.183,1
53.0,7427.51,0.298,0.665,0.805,5684.41,53.0,1.0,0.015,1
24.0,16241.75,0.886,0.825,0.801,36669.8,8.0,0.0,0.294,1
32.0,6250.18,0.346,0.872,0.773,20122.74,84.0,2.0,0.039,1
30.0,5661.08,0.445,0.575,0.494,13816.58,14.0,2.0,0.185,0
52.0,4630.73,0.272,0.818,0.51,31113.12,83.0,1.0,0.086,0
56.0,4084.85,0.316,0.807,0.223,55518.66,8.0,4.0,1.5,0
56.0,3712.81,0.716,0.904,0.58,49122.6,46.0,1.0,0.3,0
67.0,4357.26,0.455,0.617,0.756,22898.06,38.0,1.0,0.144,0
58.0,6296.51,0.291,0.448,0.605,44172.72,51.0,0.0,0.146,1
34.0,7555.19,0.616,0.404,0.921,43952.96,40.0,0.0,0.151,1
23.0,6651.33,0.749,0.553,0.485,23619.78,76.0,0.0,0.049,0
50.0,4605.78,0.211,0.613,0.758,15932.7,7.0,1.0,0.524,0
66.0,9746.28,0.436,0.759,0.379,16543.18,83.0,1.0,0.101,1
69.0,9066.06,0.906,0.783,0.439,43098.17,60.0,0.0,0.083,1
30.0,6049.41,0.472,0.625,0.373,24324.41,67.0,1.0,0.061,0
30.0,4845.21,0.157,0.818,0.28,12665.19,17.0,0.0,0.161,1
19.0,8319.44,0.281,0.125,0.807,8362.15,11.0,0.0,0.094,0
25.0,7073.75,0.644,0.731,0.189,42929.8,37.0,3.0,0.174,0
47.0,3387.68,0.096,0.856,0.238,17522.22,31.0,0.0,0.173,0
46.0,6304.17,0.923,0.2,0.868,30988.86,67.0,0.0,0.075,0
37.0,7313.47,0.782,0.353,0.762,55962.7,76.0,0.0,0.106,0
34.0,4335.94,0.688,0.599,0.36,10676.82,39.0,0.0,0.067,0
61.0,7079.7,0.313,0.814,0.602,24277.17,66.0,1.0,0.055,1
42.0,3377.49,0.485,0.969,0.419,22374.56,10.0,4.0,0.697,0
60.0,11858.99,0.6,0.695,0.711,31999.13,64.0,1.0,0.043,1
69.0,11397.34,0.364,0.662,0.341,55942.8,13.0,1.0,0.395,1
34.0,5801.81,0.869,0.848,0.264,10535.31,58.0,0.0,0.032,0
28.0,7654.98,0.411,0.707,0.423,36206.71,36.0,1.0,0.135,1
68.0,2197.54,0.562,0.531,0.812,48879.9,38.0,0.0,0.62,0
51.0,3863.01,0.472,0.378,0.173,22147.64,27.0,0.0,0.223,0
33.0,5695.07,0.306,0.838,0.698,22863.35,37.0,2.0,0.112,0
50.0,4012.21,0.781,0.899,0.427,32814.42,75.0,0.0,0.112,0
45.0,8964.57,0.562,0.615,0.333,31280.88,69.0,0.0,0.054,1
65.0,15967.98,0.273,0.904,0.801,36503.39,32.0,0.0,0.073,1
